clip_id,video_path,skeleton_path,label
oz_0000,header.mov,oz_football/oz_0000.npy,0
oz_0002,header.mov,oz_football/oz_0002.npy,0
oz_0003,header.mov,oz_football/oz_0003.npy,0
oz_0006,header.mov,oz_football/oz_0006.npy,0
oz_0007,header.mov,oz_football/oz_0007.npy,0
oz_0008,header.mov,oz_football/oz_0008.npy,0
oz_0009,header.mov,oz_football/oz_0009.npy,0
oz_0011,header.mov,oz_football/oz_0011.npy,0
oz_0012,header.mov,oz_football/oz_0012.npy,0
oz_0014,header.mov,oz_football/oz_0014.npy,0
oz_0016,header.mov,oz_football/oz_0016.npy,0
oz_0017,header.mov,oz_football/oz_0017.npy,0
oz_0019,header.mov,oz_football/oz_0019.npy,0
oz_0020,header.mov,oz_football/oz_0020.npy,0
oz_0021,header.mov,oz_football/oz_0021.npy,0
oz_0022,header.mov,oz_football/oz_0022.npy,0
oz_0024,header.mov,oz_football/oz_0024.npy,0
oz_0025,header.mov,oz_football/oz_0025.npy,0
oz_0026,header.mov,oz_football/oz_0026.npy,0
oz_0027,header.mov,oz_football/oz_0027.npy,0
oz_0028,header.mov,oz_football/oz_0028.npy,0
oz_0029,header.mov,oz_football/oz_0029.npy,0
oz_0030,header.mov,oz_football/oz_0030.npy,0
oz_0031,header.mov,oz_football/oz_0031.npy,1
oz_0033,header.mov,oz_football/oz_0033.npy,1
oz_0035,header.mov,oz_football/oz_0035.npy,1
oz_0036,header.mov,oz_football/oz_0036.npy,1
oz_0037,header.mov,oz_football/oz_0037.npy,1
oz_0038,header.mov,oz_football/oz_0038.npy,1
oz_0040,header.mov,oz_football/oz_0040.npy,1
oz_0044,header.mov,oz_football/oz_0044.npy,1
oz_0045,header.mov,oz_football/oz_0045.npy,1
oz_0046,header.mov,oz_football/oz_0046.npy,1
oz_0047,header.mov,oz_football/oz_0047.npy,1
oz_0048,header.mov,oz_football/oz_0048.npy,1
oz_0050,header.mov,oz_football/oz_0050.npy,1
oz_0051,header.mov,oz_football/oz_0051.npy,1
oz_0053,header.mov,oz_football/oz_0053.npy,1
oz_0054,header.mov,oz_football/oz_0054.npy,1
oz_0055,header.mov,oz_football/oz_0055.npy,2
oz_0056,header.mov,oz_football/oz_0056.npy,2
oz_0058,header.mov,oz_football/oz_0058.npy,2
oz_0059,header.mov,oz_football/oz_0059.npy,2
oz_0060,header.mov,oz_football/oz_0060.npy,2
oz_0061,header.mov,oz_football/oz_0061.npy,2
oz_0062,header.mov,oz_football/oz_0062.npy,2
oz_0064,header.mov,oz_football/oz_0064.npy,2
oz_0066,header.mov,oz_football/oz_0066.npy,1
oz_0067,header.mov,oz_football/oz_0067.npy,1
oz_0068,header.mov,oz_football/oz_0068.npy,1
oz_0070,header.mov,oz_football/oz_0070.npy,1
oz_0071,header.mov,oz_football/oz_0071.npy,1
oz_0072,header.mov,oz_football/oz_0072.npy,1
oz_0073,header.mov,oz_football/oz_0073.npy,1
oz_0074,header.mov,oz_football/oz_0074.npy,1
oz_0075,header.mov,oz_football/oz_0075.npy,1
oz_0077,header.mov,oz_football/oz_0077.npy,3
oz_0079,header.mov,oz_football/oz_0079.npy,3
oz_0080,header.mov,oz_football/oz_0080.npy,3
oz_0082,header.mov,oz_football/oz_0082.npy,1
oz_0083,header.mov,oz_football/oz_0083.npy,3
oz_0084,header.mov,oz_football/oz_0084.npy,3
oz_0085,header.mov,oz_football/oz_0085.npy,3
oz_0086,header.mov,oz_football/oz_0086.npy,3
oz_0088,header.mov,oz_football/oz_0088.npy,3
oz_0089,header.mov,oz_football/oz_0089.npy,3
oz_0090,header.mov,oz_football/oz_0090.npy,3
oz_0091,header.mov,oz_football/oz_0091.npy,3
oz_0092,header.mov,oz_football/oz_0092.npy,3
oz_0096,header.mov,oz_football/oz_0096.npy,3
oz_0097,header.mov,oz_football/oz_0097.npy,3
oz_0098,header.mov,oz_football/oz_0098.npy,3
oz_0099,header.mov,oz_football/oz_0099.npy,3
oz_0100,header.mov,oz_football/oz_0100.npy,3
oz_0101,header.mov,oz_football/oz_0101.npy,3
oz_0103,header.mov,oz_football/oz_0103.npy,3
oz_0104,header.mov,oz_football/oz_0104.npy,3
oz_0107,header.mov,oz_football/oz_0107.npy,3
oz_0108,header.mov,oz_football/oz_0108.npy,3
oz_0109,header.mov,oz_football/oz_0109.npy,3
oz_0110,header.mov,oz_football/oz_0110.npy,3
oz_0115,header.mov,oz_football/oz_0115.npy,3
oz_0116,header.mov,oz_football/oz_0116.npy,3
oz_0118,header.mov,oz_football/oz_0118.npy,3
oz_0119,header.mov,oz_football/oz_0119.npy,3
oz_0120,header.mov,oz_football/oz_0120.npy,3
oz_0121,header.mov,oz_football/oz_0121.npy,3
oz_0124,header.mov,oz_football/oz_0124.npy,3
oz_0125,header.mov,oz_football/oz_0125.npy,3
oz_0126,header.mov,oz_football/oz_0126.npy,3
oz_0127,header.mov,oz_football/oz_0127.npy,3
oz_0128,header.mov,oz_football/oz_0128.npy,3
oz_0129,header.mov,oz_football/oz_0129.npy,3
oz_0130,header.mov,oz_football/oz_0130.npy,3
oz_0131,header.mov,oz_football/oz_0131.npy,3
oz_0132,header.mov,oz_football/oz_0132.npy,3
oz_0133,header.mov,oz_football/oz_0133.npy,3
oz_0134,header.mov,oz_football/oz_0134.npy,3
oz_0135,header.mov,oz_football/oz_0135.npy,3
oz_0138,header.mov,oz_football/oz_0138.npy,3
oz_0139,header.mov,oz_football/oz_0139.npy,3
oz_0140,header.mov,oz_football/oz_0140.npy,3
oz_0142,header.mov,oz_football/oz_0142.npy,3
oz_0143,header.mov,oz_football/oz_0143.npy,3
oz_0144,header.mov,oz_football/oz_0144.npy,3
oz_0145,header.mov,oz_football/oz_0145.npy,3
oz_0146,header.mov,oz_football/oz_0146.npy,1
oz_0147,header.mov,oz_football/oz_0147.npy,1
oz_0148,header.mov,oz_football/oz_0148.npy,1
oz_0149,header.mov,oz_football/oz_0149.npy,1
oz_0150,header.mov,oz_football/oz_0150.npy,1
oz_0151,header.mov,oz_football/oz_0151.npy,1
oz_0152,header.mov,oz_football/oz_0152.npy,1
oz_0153,header.mov,oz_football/oz_0153.npy,1
oz_0154,header.mov,oz_football/oz_0154.npy,1
oz_0155,header.mov,oz_football/oz_0155.npy,1
oz_0156,header.mov,oz_football/oz_0156.npy,1
oz_0159,header.mov,oz_football/oz_0159.npy,1
oz_0160,header.mov,oz_football/oz_0160.npy,1
oz_0162,header.mov,oz_football/oz_0162.npy,2
oz_0163,header.mov,oz_football/oz_0163.npy,2
oz_0164,header.mov,oz_football/oz_0164.npy,2
oz_0165,header.mov,oz_football/oz_0165.npy,2
oz_0166,header.mov,oz_football/oz_0166.npy,2
oz_0168,header.mov,oz_football/oz_0168.npy,2
oz_0169,header.mov,oz_football/oz_0169.npy,2
oz_0171,header.mov,oz_football/oz_0171.npy,2
oz_0172,header.mov,oz_football/oz_0172.npy,2
oz_0173,header.mov,oz_football/oz_0173.npy,2
oz_0174,header.mov,oz_football/oz_0174.npy,2
oz_0176,header.mov,oz_football/oz_0176.npy,2
oz_0178,header.mov,oz_football/oz_0178.npy,2
oz_0179,header.mov,oz_football/oz_0179.npy,1
oz_0180,header.mov,oz_football/oz_0180.npy,1
oz_0181,header.mov,oz_football/oz_0181.npy,1
oz_0183,header.mov,oz_football/oz_0183.npy,1
oz_0184,header.mov,oz_football/oz_0184.npy,1
oz_0185,header.mov,oz_football/oz_0185.npy,1
oz_0191,header.mov,oz_football/oz_0191.npy,2
oz_0192,header.mov,oz_football/oz_0192.npy,2
oz_0193,header.mov,oz_football/oz_0193.npy,2
oz_0194,header.mov,oz_football/oz_0194.npy,2
oz_0196,header.mov,oz_football/oz_0196.npy,3
oz_0197,header.mov,oz_football/oz_0197.npy,3
oz_0198,header.mov,oz_football/oz_0198.npy,3
oz_0199,header.mov,oz_football/oz_0199.npy,3
oz_0200,header.mov,oz_football/oz_0200.npy,3
oz_0201,header.mov,oz_football/oz_0201.npy,3
oz_0202,header.mov,oz_football/oz_0202.npy,3
